ID,Item Name,Item Type,Current Stock,Is Fixed Price,Barcode,Unit Price Per Tab,Expiry Date,Batch Number,Purchase Price,Sale Price,Fixed Sale Price,Markup Percentage
a5abd14f-f28a-4a25-8c37-72bd95a8cfcf,N/A,Pharmacy,157.0,False,,10.0,2027-09-20,,0.0,0.0,0.0,0.0
24976af6-0cb4-4def-a771-a1b55fce5b4a,N/A,Pharmacy,296.0,False,,3.0,2026-11-01,,1.41,75.0,0.0,0.0
d60a828f-86db-4567-b2ec-455e09cad990,N/A,Pharmacy,285.0,False,,4.0,2026-08-01,,26.7,40.0,0.0,0.0
2b6e524f-7830-4fcf-81a4-dacf6c447e97,N/A,Pharmacy,51.0,False,,5.0,2027-05-05,,0.0,0.0,0.0,0.0
7d5ba4c5-cc1b-4115-9015-8140e4d31e71,N/A,Pharmacy,187.0,False,,7.0,2028-04-21,,0.0,0.0,0.0,0.0
1f27e45d-7c70-4bcb-8172-4d426e2f6651,N/A,Pharmacy,75.0,True,011,4.0,2026-12-01,None,1.21,100.0,100.0,0.0
d8229109-2697-4a12-b4a5-5e6fd497fdce,N/A,Pharmacy,8.0,False,,45.0,2027-01-01,,0.0,0.0,0.0,0.0
396f0a46-5ddb-4e2a-a7e0-ed5288ba5467,N/A,Pharmacy,188.0,False,,7.0,2027-01-01,,4.18,70.0,0.0,0.0
462fa810-db91-4b76-96c7-6f2e6776c6ad,N/A,Pharmacy,12.0,False,,10.0,2027-04-01,,0.0,0.0,0.0,0.0
f9a8a4be-3661-46b2-bdbb-f5726778efc3,N/A,Pharmacy,64.0,False,,15.0,2026-04-04,,0.0,0.0,0.0,0.0
a596230f-03b5-4c33-b384-7a64a673ff82,N/A,Pharmacy,76.0,False,,7.0,2027-08-08,,0.0,0.0,0.0,0.0
2d74b884-9435-4728-ba97-f502f37e920c,N/A,Pharmacy,14.0,False,,20.0,2026-07-07,,0.0,0.0,0.0,0.0
41fedcee-a17b-4bb8-8abb-efa3778a5743,N/A,Pharmacy,24.0,False,,20.0,2028-02-02,,0.0,0.0,0.0,0.0
16dfd7d6-6f8a-4019-ac89-7f2201c9100b,N/A,Pharmacy,8.0,False,,60.0,2026-08-12,,0.0,0.0,0.0,0.0
ede003d9-321e-4797-b68f-64e1f674d646,N/A,Pharmacy,36.0,False,,10.0,2027-07-01,,0.0,0.0,0.0,0.0
bed213fb-9351-416d-a2ab-97fa76c0050c,N/A,Pharmacy,16.0,False,,25.0,2028-02-01,,10.7,20.0,0.0,0.0
725c226f-3e8a-48d2-aa1c-0814a9c17426,N/A,Pharmacy,4.0,False,,35.0,2027-11-10,,0.0,0.0,0.0,0.0
96e8f87b-c7e8-455c-9efb-e1cd25ff00c6,N/A,Pharmacy,38.0,False,,15.0,2026-12-05,,0.0,0.0,0.0,0.0
b19c2cf3-e771-4546-89d2-ebbe1a77e510,N/A,Pharmacy,36.0,False,,5.0,2027-02-02,,0.0,0.0,0.0,0.0
6cf782fd-e3a5-4653-9747-ffa077022844,N/A,Pharmacy,228.0,False,,1.0,2027-03-10,,0.0,0.0,0.0,0.0
4286b772-0614-46c6-a7c0-77a32917a43a,N/A,Pharmacy,505.0,False,,5.0,2027-04-01,,2.76,125.0,0.0,0.0
7084854a-5ba5-433b-bd84-8cebabdf2381,N/A,Pharmacy,6.0,False,,10.0,2028-05-02,,0.0,0.0,0.0,0.0
7fadf56b-ad59-47e9-9060-617af7fcce1d,N/A,Pharmacy,234.0,False,,7.0,2026-03-01,,2.09,140.0,0.0,0.0
33bdebb4-b20c-4469-8eee-efab70ed28e1,N/A,Pharmacy,10.0,False,,20.0,2027-10-01,,15.1,20.0,0.0,0.0
24166307-8d7d-47b7-8100-47aa3e84a467,N/A,Pharmacy,68.0,False,,10.0,2027-08-08,,0.0,0.0,0.0,0.0
6212680f-8ba5-4107-a80e-1f384b69b407,N/A,Pharmacy,80.0,False,,10.0,2027-12-11,,13.0,30.0,0.0,0.0
38d232cc-c2a5-4388-8849-ebe890fc3e07,N/A,Pharmacy,10.0,False,,15.0,2025-11-01,,10.2,15.0,0.0,0.0
421e0a00-c501-4486-a6d7-537996fe01fd,N/A,Pharmacy,31.0,True,,10.0,2026-09-09,None,13.1,20.0,20.0,0.0
389eb035-d7c8-42ef-8396-9db430445df6,N/A,Pharmacy,79.0,False,,8.0,2028-03-03,,0.0,0.0,0.0,0.0
064385e4-7bef-4673-be1f-e7b26f4ef485,N/A,Pharmacy,20.0,True,009,25.0,2027-07-01,None,19.8,25.0,25.0,0.0
985b1a29-bf42-4b40-825f-e9bbcadc795e,N/A,Pharmacy,119.0,False,,5.0,2026-12-20,,0.0,0.0,0.0,0.0
e09ca0d0-8cf8-4309-84f8-b57ee98c0283,N/A,Pharmacy,79.0,False,,17.0,2029-11-12,,0.0,0.0,0.0,0.0
2e0e86b5-dcee-4be8-900c-72d7497f2974,N/A,Pharmacy,225.0,False,,3.0,2026-10-10,,0.0,0.0,0.0,0.0
d4a614cb-7d17-4e42-87b9-152b89f8eefb,N/A,Pharmacy,387.0,False,,3.0,2027-11-11,,0.0,0.0,0.0,0.0
fa477318-b41f-4fa5-8355-46f5f1c54121,N/A,Pharmacy,89.0,True,,30.0,2028-01-01,001,25.0,30.0,30.0,0.0
fa2fcd76-e4bc-49dc-8d98-008b5a81a3f7,N/A,Pharmacy,93.0,False,,10.0,2025-10-10,,0.0,0.0,0.0,0.0
d7a3c3d2-9420-4b50-b8fd-29ab14cf5e21,N/A,Pharmacy,4.0,False,,60.0,2027-03-01,,49.8,60.0,0.0,0.0
a62947fb-3225-42b1-98bb-08c8adae1a0f,N/A,Pharmacy,1506.0,False,,3.0,2027-06-01,,1.78,150.0,0.0,0.0
30a4ce53-3ad9-4de3-90b7-ed4b9994d941,N/A,Pharmacy,50.0,False,,5.0,2028-11-01,,3.41,75.0,0.0,0.0
b3917761-5260-40ec-bc81-54078fb1c6a2,N/A,Pharmacy,4.0,False,,40.0,2026-07-01,,24.9,40.0,0.0,0.0
f1b7f74e-581b-44a4-84f8-c3577ce75388,N/A,Pharmacy,28.0,False,,10.0,2026-07-01,,4.98,10.0,0.0,0.0
0dc40bea-cb2b-4e7b-9b4b-1ece82935d37,N/A,Pharmacy,8.0,False,,45.0,2026-10-10,,21.0,45.0,0.0,0.0
07184b08-87f0-4f47-ba0c-22f9e1c919b8,N/A,Pharmacy,4.0,False,,55.0,2027-12-01,,34.0,55.0,0.0,0.0
c8519f62-24f4-4942-b525-9eae0261b6d8,N/A,Pharmacy,2.0,False,,48.0,2027-04-01,,37.0,48.0,0.0,0.0
dc94278a-4a13-47f1-90f3-9a12348cbae5,N/A,Pharmacy,6.0,False,,25.0,2027-01-15,,16.0,25.0,0.0,0.0
f34207a7-c038-437d-8460-76f3acc05634,N/A,Pharmacy,12.0,False,,25.0,2027-02-01,,14.0,25.0,0.0,0.0
9e03317a-ba51-4cd8-9461-f6dca6910d61,N/A,Pharmacy,34.0,False,,10.0,2027-07-01,,7.9,100.0,0.0,0.0
40f899a4-5f2e-4637-a1e1-3f2bcdbfdf39,N/A,Pharmacy,4.0,False,,15.0,2026-05-05,,9.32,15.0,0.0,0.0
251c69b9-7e8e-4baf-837b-7ce0f5cc8d89,N/A,Pharmacy,12.0,False,,28.0,2027-02-01,,20.0,28.0,0.0,0.0
1c619f69-1b11-42a1-9f74-85a317d0b4cb,N/A,Pharmacy,66.0,False,,2.5,2026-01-01,,53.0,70.0,0.0,0.0
c1b16696-fea9-45d1-a82b-efd43b68aac6,N/A,Pharmacy,10.0,False,,35.0,2027-09-01,,25.98,35.0,0.0,0.0
